llm_model_name,tensor_parallelism_degree,max_requests_per_batch,max_tokens_per_batch,arrival_rate,num_warmup_requests,step_idx,is_warmup_step,timestamp,num_inference_requests,num_prefilling_tokens,num_decoding_tokens,num_finetuning_fwd_tokens,num_finetuning_bwd_tokens,num_bwd_layers
meta-llama/llama-3.1-70b,4,8,256,0,10,246,0,132604019,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,247,0,132663233,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,248,0,132724433,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,249,0,132784412,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,250,0,132844705,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,251,0,132902955,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,252,0,132963605,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,253,0,133024343,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,254,0,133085135,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,255,0,133145692,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,256,0,133206852,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,257,0,133267298,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,258,0,133327392,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,259,0,133387601,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,260,0,133448191,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,261,0,133510253,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,262,0,133570660,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,263,0,133631422,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,264,0,133690649,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,265,0,133751048,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,266,0,133813815,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,267,0,133874203,8,0,8,0,0,0
